stationCode,stationName,stationType,latitude,longitude,agencyName,state,district,majorBasin,tributary,dataAcquisitionMode,stationStatus,tehsil,block,village,datatype_code,description,data_value,data_time,unit,well_type,well_depth,well_aquifer_type
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-27.63,2023-11-21 12:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-27.6,2023-11-21 18:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-27.58,2023-11-22 00:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-27.53,2023-11-23 06:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-27.51,2023-11-23 12:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-27.5,2023-11-23 18:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-27.48,2023-11-24 00:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-27.46,2023-11-24 06:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-27.43,2023-11-24 12:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-27.4,2023-11-24 18:00:00,m,,,,58.0,Unconfined
